SPCRECID,SCINAME
3676,Phalacrocorax fuscicollis
3679,Phalacrocorax carbo
3715,Ardea cinerea
3725,Ardea purpurea
3728,Casmerodius albus
3729,Mesophoyx intermedia
3730,Bubulcus ibis
3732,Ardeola grayii
3737,Butorides striata
3742,Nycticorax nycticorax
3747,Gorsachius melanolophus
3757,Ixobrychus sinensis
3761,Ixobrychus cinnamomeus
3763,Ixobrychus flavicollis
3766,Botaurus stellaris
3769,Phoenicopterus roseus
3771,Phoeniconaias minor
3777,Plegadis falcinellus
3795,Threskiornis melanocephalus
3798,Pseudibis papillosa
3802,Platalea leucorodia
3812,Pelecanus philippensis
3827,Mycteria leucocephala
3828,Anastomus oscitans
3830,Ciconia nigra
3832,Ciconia episcopus
3835,Ciconia ciconia
3837,Ephippiorhynchus asiaticus
3840,Leptoptilos javanicus
3928,Puffinus pacificus
3930,Puffinus carneipes
3969,Oceanites oceanicus
3973,Fregetta tropica
3981,Oceanodroma monorhis
4017,Pitta brachyura
5507,Irena puella
5527,Lanius isabellinus
5528,Lanius cristatus
5532,Lanius vittatus
5533,Lanius schach
5736,Dendrocitta vagabunda
5739,Dendrocitta leucogastra
5760,Corvus splendens
5785,Corvus levaillantii
5857,Artamus fuscus
5882,Oriolus oriolus
5884,Oriolus chinensis
5893,Oriolus xanthornus
5903,Coracina macei
5948,Coracina melanoptera
5970,Pericrocotus divaricatus
5972,Pericrocotus cinnamomeus
5975,Pericrocotus erythropygius
5980,Pericrocotus flammeus
5981,Hemipus picatus
5988,Rhipidura albicollis
5990,Rhipidura aureola
6034,Dicrurus macrocercus
6035,Dicrurus leucophaeus
6036,Dicrurus caerulescens
6038,Dicrurus aeneus
6048,Dicrurus paradiseus
6061,Hypothymis azurea
6071,Terpsiphone paradisi
6147,Aegithina tiphia
6148,Aegithina nigrolutea
6243,Tephrodornis pondicerianus
6292,Monticola cinclorhynchus
6295,Monticola solitarius
6300,Myophonus horsfieldii
6309,Zoothera wardii
6312,Zoothera citrina
6394,Turdus merula
6490,Muscicapa dauurica
6493,Muscicapa ruficauda
6494,Muscicapa muttui
6521,Ficedula subrubra
6536,Ficedula superciliaris
6539,Ficedula nigrorufa
6542,Eumyias thalassinus
6545,Eumyias albicaudatus
6560,Cyornis pallipes
6563,Cyornis rubeculoides
6569,Cyornis tickelliae
6573,Culicicapa ceylonensis
6596,Luscinia svecica
6600,Luscinia brunnea
6640,Copsychus saularis
6647,Saxicoloides fulicatus
6651,Phoenicurus ochruros
6682,Saxicola torquatus
6685,Saxicola caprata
6709,Oenanthe isabellina
6717,Cercomela fusca
6807,Sturnus malabaricus
6809,Sturnus pagodarum
6814,Sturnus roseus
6818,Sturnus contra
6823,Acridotheres tristis
6824,Acridotheres ginginianus
6825,Acridotheres fuscus
6841,Gracula religiosa
6883,Sitta castanea
6898,Sitta frontalis
7053,Parus nuchalis
7054,Parus xanthogenys
7106,Riparia paludicola
7112,Hirundo rupestris
7115,Hirundo concolor
7116,Hirundo rustica
7121,Hirundo domicola
7124,Hirundo smithii
7147,Hirundo fluvicola
7178,Pycnonotus priocephalus
7180,Pycnonotus melanicterus
7183,Pycnonotus jocosus
7194,Pycnonotus leucotis
7196,Pycnonotus cafer
7203,Pycnonotus xantholaemus
7206,Pycnonotus luteolus
7288,Iole indica
7305,Hypsipetes leucocephalus
7352,Cisticola juncidis
7361,Cisticola exilis
7369,Prinia buchanani
7371,Prinia hodgsonii
7373,Prinia sylvatica
7376,Prinia socialis
7379,Prinia inornata
7455,Zosterops palpebrosus
7589,Locustella naevia
7601,Acrocephalus agricola
7605,Acrocephalus dumetorum
7608,Acrocephalus stentoreus
7627,Acrocephalus aedon
7630,Hippolais caligata
7631,Hippolais rama
7646,Orthotomus sutorius
7702,Phylloscopus collybita
7709,Phylloscopus affinis
7711,Phylloscopus griseolus
7721,Phylloscopus trochiloides
7724,Phylloscopus magnirostris
7725,Phylloscopus tytleri
7726,Phylloscopus occipitalis
7773,Chaetornis striata
7776,Schoenicola platyurus
7796,Garrulax delesserti
7847,Pellorneum ruficeps
7934,Dumetia hyperythra
7935,Rhopocichla atriceps
7943,Chrysomma sinense
7948,Turdoides caudata
7952,Turdoides malcolmi
7957,Turdoides subrufa
7958,Turdoides striata
7960,Turdoides affinis
8009,Alcippe poioicephala
8078,Sylvia althaea
8081,Sylvia hortensis
8093,Mirafra cantillans
8112,Mirafra erythroptera
8137,Eremopterix griseus
8139,Ammomanes phoenicura
8169,Galerida cristata
8171,Galerida malabarica
8172,Galerida deva
8179,Alauda gulgula
8192,Dicaeum agile
8208,Dicaeum erythrorhynchos
8209,Dicaeum concolor
8271,Nectarinia zeylonica
8272,Nectarinia minima
8289,Nectarinia asiatica
8291,Nectarinia lotenia
8341,Aethopyga siparaja
8344,Arachnothera longirostra
8367,Passer domesticus
8390,Petronia xanthocollis
8402,Dendronanthus indicus
8403,Motacilla alba
8406,Motacilla madaraspatensis
8410,Motacilla citreola
8411,Motacilla flava
8412,Motacilla cinerea
8429,Anthus richardi
8430,Anthus rufulus
8437,Anthus godlewskii
8441,Anthus similis
8446,Anthus trivialis
8447,Anthus hodgsoni
8456,Anthus nilghiriensis
8544,Ploceus manyar
8545,Ploceus philippinus
8663,Amandava amandava
8664,Amandava formosa
8698,Lonchura malabarica
8704,Lonchura striata
8708,Lonchura kelaarti
8709,Lonchura punctulata
8713,Lonchura malacca
8854,Carpodacus erythrinus
8928,Melophus lathami
8960,Emberiza melanocephala
8961,Emberiza bruniceps
30133,Otus sunia
30245,Phylloscopus humei
31027,Anas crecca
31029,Gyps indicus
31036,Aquila hastata
31051,Gallinago gallinago
31195,Lanius excubitor
31546,Nisaetus cirrhatus
31636,Chloropsis jerdoni
31685,Mirafra affinis
32154,Zoothera dauma
32239,Ficedula albicilla
32257,Circaetus gallicus
32266,Copsychus malabaricus
32280,Chloropsis aurifrons
32282,Mirafra assamica
32423,Milvus migrans
32458,Macronous gularis
32469,Coturnix chinensis
32500,Strophocincla fairbanki
32501,Strophocincla cachinnans
32502,Myiomela major
32503,Myiomela albiventris
32518,Pomatorhinus horsfieldii
32556,Egretta garzetta
32580,Rostratula benghalensis
32591,Buteo buteo
32599,Ficedula parva
32601,Hirundo daurica
32603,Larus cachinnans
32615,Parus major
32683,Dicrurus hottentottus
32715,Anas poecilorhyncha
